machine_type,baseRate,season,booking_time,duration_hours,discount,gst,demand_index,available,finalPrice
Harvester,3899.63,Growing,Afternoon,2,2.75,18.0,1.28,True,1431.64
Plough,1483.75,Harvest,Morning,4,0.87,18.0,1.37,True,1849.45
Harvester,4166.46,Off-Season,Afternoon,3,0.85,18.0,1.22,False,1787.11
Plough,1350.23,Harvest,Night,5,2.75,18.0,0.8,True,911.23
Harvester,3945.56,Harvest,Afternoon,2,7.87,18.0,0.9,True,1254.42
Harvester,4379.0,Planting,Morning,4,6.84,18.0,1.29,True,4083.09
Harvester,4011.39,Growing,Evening,5,7.0,18.0,1.36,True,4302.79
Drone,4455.45,Growing,Morning,3,14.23,18.0,1.47,True,2973.92
Plough,1441.38,Planting,Afternoon,2,3.46,18.0,0.74,True,334.6
Plough,1533.0,Off-Season,Afternoon,5,0.52,18.0,1.41,True,1268.11
Harvester,4130.02,Planting,Morning,3,6.38,18.0,0.71,True,1598.89
Harvester,3625.05,Off-Season,Morning,3,11.63,18.0,1.44,True,1958.98
Drone,4588.11,Harvest,Afternoon,5,4.9,18.0,1.07,True,4478.08
Harvester,4368.94,Planting,Night,2,5.83,18.0,0.77,True,926.82
Harvester,3885.4,Harvest,Night,5,9.11,18.0,0.78,True,2364.74
Tractor,1866.11,Harvest,Afternoon,2,14.8,18.0,1.27,True,775.7
Tractor,1802.21,Harvest,Evening,4,2.98,18.0,1.21,True,1868.16
Harvester,4084.77,Off-Season,Night,3,5.38,18.0,0.62,True,758.4
Tractor,2049.32,Harvest,Morning,3,1.43,18.0,0.87,True,1214.27
Tractor,2066.37,Growing,Morning,5,9.56,18.0,1.39,True,2294.24
Tractor,1847.84,Off-Season,Evening,3,12.73,18.0,1.22,True,802.02
Tractor,1902.43,Planting,Afternoon,4,7.84,18.0,0.93,True,1055.42
Plough,1382.37,Growing,Evening,4,13.44,18.0,0.98,True,791.91
Drone,4675.96,Off-Season,Morning,2,3.74,18.0,0.91,True,1160.48
Plough,1418.64,Planting,Evening,5,8.98,18.0,1.19,True,1439.25
Tractor,2049.74,Off-Season,Evening,3,9.5,18.0,1.37,True,1035.68
Plough,1405.97,Off-Season,Morning,3,13.25,18.0,0.82,True,427.11
Harvester,3885.04,Planting,Morning,3,1.65,18.0,0.73,True,1624.6
Plough,1595.4,Planting,Afternoon,2,4.57,18.0,0.66,True,328.37
Tractor,1993.93,Harvest,Evening,2,1.8,18.0,0.84,False,723.33
Plough,1446.96,Harvest,Evening,5,8.37,18.0,0.9,True,1321.24
Tractor,1901.57,Planting,Afternoon,5,3.78,18.0,1.0,True,1480.3
Harvester,3827.87,Harvest,Afternoon,2,4.0,18.0,1.48,True,2080.91
Drone,4079.75,Off-Season,Night,5,13.62,18.0,0.74,True,1383.87
Harvester,3991.56,Off-Season,Night,5,8.29,18.0,1.09,True,2123.92
Harvester,3895.72,Off-Season,Afternoon,2,10.92,18.0,0.87,True,710.68
Plough,1540.06,Harvest,Afternoon,4,12.25,18.0,1.3,True,1345.82
Tractor,2003.28,Harvest,Night,5,0.61,18.0,1.09,True,1874.16
Harvester,3613.27,Off-Season,Afternoon,4,12.14,18.0,0.85,True,1271.62
Drone,4896.47,Harvest,Evening,5,5.8,18.0,1.44,True,7306.47
Drone,4356.96,Harvest,Afternoon,2,3.14,18.0,1.04,True,1685.58
Plough,1418.57,Growing,Evening,5,12.26,18.0,1.06,True,1113.91
Drone,4267.67,Off-Season,Night,5,14.48,18.0,1.06,True,2050.94
Tractor,1875.48,Harvest,Night,2,5.24,18.0,1.23,True,752.02
Tractor,2154.83,Growing,Evening,5,13.32,18.0,1.35,False,2140.14
Plough,1585.6,Off-Season,Night,5,9.1,18.0,0.51,True,389.72
Plough,1549.05,Off-Season,Morning,2,4.26,18.0,0.81,True,338.26
Harvester,3958.74,Growing,Evening,2,3.36,18.0,1.21,True,1573.19
Drone,4342.86,Harvest,Afternoon,5,5.5,18.0,1.24,True,4895.61
Tractor,1923.22,Planting,Morning,5,1.41,18.0,0.87,True,1601.76
Drone,4269.59,Harvest,Morning,3,14.68,18.0,0.99,False,2481.2
Tractor,1973.76,Harvest,Afternoon,2,7.54,18.0,1.08,True,753.69
Plough,1408.57,Harvest,Morning,2,7.49,18.0,1.07,True,642.87
Drone,4089.24,Harvest,Evening,5,14.11,18.0,1.45,False,5630.51
Tractor,1948.06,Off-Season,Morning,2,14.3,18.0,0.83,True,392.8
Harvester,4057.83,Off-Season,Evening,5,12.8,18.0,0.79,True,1907.44
Plough,1605.34,Planting,Night,5,7.28,18.0,0.87,True,948.42
Harvester,4275.37,Growing,Evening,4,8.55,18.0,0.6,True,1584.18
Drone,4941.05,Growing,Evening,3,3.81,18.0,0.8,True,1923.42
Plough,1604.6,Harvest,Night,2,10.54,18.0,0.86,True,425.85
Drone,4778.43,Harvest,Night,4,3.84,18.0,1.11,True,3525.48
Harvester,3604.15,Off-Season,Morning,5,11.97,18.0,1.15,True,2583.03
Drone,4766.21,Growing,Night,5,13.3,18.0,0.53,True,1447.17
Tractor,1975.39,Off-Season,Evening,4,0.54,18.0,0.97,True,1029.77
Tractor,1914.62,Off-Season,Afternoon,3,12.91,18.0,0.75,True,442.87
Harvester,3842.61,Harvest,Afternoon,4,1.91,18.0,1.02,True,2955.42
Tractor,1886.33,Planting,Afternoon,2,6.86,18.0,1.34,True,765.13
Plough,1473.41,Off-Season,Night,4,9.56,18.0,1.23,False,694.04
Tractor,2006.52,Planting,Morning,3,0.62,18.0,0.9,True,1046.94
Tractor,2097.62,Off-Season,Afternoon,3,0.38,18.0,1.46,True,1081.97
Harvester,4156.78,Growing,Morning,2,0.87,18.0,1.42,True,2064.31
Tractor,1895.91,Off-Season,Evening,3,10.72,18.0,1.16,True,799.49
Harvester,4363.89,Growing,Afternoon,4,9.86,18.0,0.94,True,2171.62
Plough,1364.31,Off-Season,Morning,3,5.34,18.0,1.26,True,690.07
Harvester,3692.86,Planting,Afternoon,2,1.41,18.0,0.81,False,958.61
